event_id,vehicle_id,plate_number,camera_id,timestamp,latitude,longitude,direction,road_segment_id,road_name,speed_kmh,trajectory_id
E001,V001,DL01AB1234,CAM_01,2026-09-06T08:03:00+05:30,28.63210,77.21960,NB,SEG_A1,Ring Road,34.2,T001
E002,V001,DL01AB1234,CAM_01,2026-09-06T08:04:00+05:30,28.63218,77.21972,NB,SEG_A1,Ring Road,31.8,T001
E003,V002,DL02CD5678,CAM_01,2026-09-06T08:06:00+05:30,28.63205,77.21955,NB,SEG_A1,Ring Road,28.4,T002
E004,V003,DL03EF9012,CAM_02,2026-09-06T08:07:00+05:30,28.62810,77.23120,EB,SEG_B2,MG Road,22.1,T003
E005,V004,DL04GH3456,CAM_02,2026-09-06T08:12:00+05:30,28.62822,77.23135,EB,SEG_B2,MG Road,19.6,T004
E006,V002,DL02CD5678,CAM_02,2026-09-06T08:14:00+05:30,28.62808,77.23118,EB,SEG_B2,MG Road,26.0,T002
E007,V001,DL01AB1234,CAM_02,2026-09-06T08:16:00+05:30,28.62815,77.23128,NB,SEG_B2,MG Road,30.5,T001
E008,V005,DL05IJ7890,CAM_03,2026-09-06T08:18:00+05:30,28.59020,77.25010,SB,SEG_C3,Outer Ring Road,41.3,T005
E009,V003,DL03EF9012,CAM_03,2026-09-06T08:22:00+05:30,28.59012,77.25002,SB,SEG_C3,Outer Ring Road,18.7,T003
E010,V004,DL04GH3456,CAM_03,2026-09-06T08:47:00+05:30,28.59025,77.25018,WB,SEG_C3,Outer Ring Road,24.9,T004
E011,V005,DL05IJ7890,CAM_03,2026-09-06T08:52:00+05:30,28.59008,77.24995,SB,SEG_C3,Outer Ring Road,37.1,T005
E012,V002,DL02CD5678,CAM_01,2026-09-06T09:02:00+05:30,28.63195,77.21940,SB,SEG_A1,Ring Road,33.0,T002
E013,V001,DL01AB1234,CAM_01,2026-09-06T09:10:00+05:30,28.63202,77.21948,SB,SEG_A1,Ring Road,29.4,T001
E014,V005,DL05IJ7890,CAM_01,2026-09-06T09:12:00+05:30,28.63212,77.21962,NB,SEG_A1,Ring Road,36.8,T005
E015,V003,DL03EF9012,CAM_02,2026-09-06T09:35:00+05:30,28.62800,77.23105,WB,SEG_B2,MG Road,21.2,T003
E016,V004,DL04GH3456,CAM_01,2026-09-06T08:12:00+05:30,28.63005,77.22510,EB,SEG_B2,MG Road,17.5,T004
